,Product Name,Display,Camera,Memory,Battery,Processor,Price(in Rupees),Rating
0,"REDMI 9i Sport (Coral Green, 64 GB)",16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,7199,4.3
1,"MOTOROLA e40 (Carbon Gray, 64 GB)",16.51 cm (6.5 inch) HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,UNISOC T700 Processor,7999,4.1
2,"POCO C31 (Shadow Gray, 64 GB)",16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Polymer Battery,MediaTek Helio G35 Processor,9499,4.3
3,"I Kall Z7 Ultra Series (Blue, 32 GB)",15.9 cm (6.26 inch) Display,13MP Rear Camera | 8MP Front Camera,4 GB RAM | 32 GB ROM,4000 mAh Battery,1 year manufacturing warranty for mobile and 6 months for box accessories,5989,3.2
4,"MOTOROLA G32 (Mineral Gray, 64 GB)",16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,4 GB RAM | 64 GB ROM,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,9999,4.2
5,"MOTOROLA G32 (Satin Silver, 64 GB)",16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,4 GB RAM | 64 GB ROM,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,9999,4.2
6,"MOTOROLA g52 (Charcoal Grey, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,12999,4.2
7,I Kall K3310,4.5 cm (1.77 inch) Display,0.3MP Rear Camera,32 MB RAM | 32 MB ROM,1000 mAh Battery,1 Year warranty for device and 6 Months for box accessories,744,3.6
8,"REDMI Note 11 SE (Cosmic White, 64 GB)",16.33 cm (6.43 inch) Full HD+ Display,64MP + 8MP + 2MP + 2MP | 13MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium Polymer Battery,Mediatek Helio G95 Octa Core Processor,11499,4.3
9,"REDMI 9i Sport (Carbon Black, 64 GB)",16.59 cm (6.53 inch) HD+ Display,13MP Rear Camera | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Li-Polymer Battery,MediaTek Helio G25 Processor,7199,4.3
10,"MOTOROLA G62 5G (Frosted Blue, 128 GB)",16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor,14999,4.1
11,I Kall K3312,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,32 MB RAM | 64 MB ROM | Expandable Upto 8 GB,1000 mAh Battery,15 Month  Manufacturer Warranty,999,3.5
12,"MOTOROLA e40 (Pink Clay, 64 GB)",16.51 cm (6.5 inch) HD+ Display,48MP + 2MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,5000 mAh Battery,UNISOC T700 Processor,7999,4.1
13,"POCO C31 (Royal Blue, 64 GB)",16.59 cm (6.53 inch) HD+ Display,13MP + 2MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,5000 mAh Lithium-ion Polymer Battery,MediaTek G35 Processor,9499,4.3
14,"APPLE iPhone 14 (Blue, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,128 GB ROM,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,73990,4.6
15,"I Kall King Talking, Contact icon and Auto Call Recording",4.57 cm (1.8 inch) Display,0.3MP Rear Camera,32 MB RAM | 32 MB ROM,1000 mAh Battery,12 Months on Feature phone and 6 Months On Accessories,744,3.6
16,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",16.64 cm (6.55 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 695 5G Processor,14999,4.1
17,"APPLE iPhone 14 (Midnight, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,128 GB ROM,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,73990,4.6
18,"APPLE iPhone 14 (Starlight, 128 GB)",15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,128 GB ROM,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,73990,4.6
19,I Kall K444,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,64 MB RAM | 64MB ROM,2500 mAh Battery,1 Year,1199,3.6
20,"REDMI 10 (Midnight Black, 64 GB)",17.02 cm (6.7 inch) HD+ Display,50MP + 2MP | 5MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,9999,4.3
21,"POCO M4 Pro 5G (Cool Blue, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP | 16MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,5000 mAh Lithium-ion Polymer Battery,Mediatek Dimensity 810 Processor,16999,4.2
22,"MOTOROLA g52 (Metallic White, 128 GB)",16.76 cm (6.6 inch) Full HD+ Display,50MP + 8MP + 2MP | 16MP Front Camera,6 GB RAM | 128 GB ROM,5000 mAh Lithium Battery,Qualcomm Snapdragon 680 Processor,12999,4.2
23,I Kall K999,4.57 cm (1.8 inch) NA Display,0.3MP Rear Camera,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,1000 mAh Battery,12 Months Warranty,849,3.5
